time,left,right,center
1740729493.6754277,0,0,1
1740729493.7954488,0,0,1
1740729493.8507786,0,0,1
1740729493.9144168,0,0,1
1740729493.9847345,0,0,1
1740729494.0568192,0,0,1
1740729494.1172705,0,0,1
1740729494.1815917,0,0,1
1740729494.243868,0,0,1
1740729494.3062804,0,0,1
1740729494.3646398,0,0,1
1740729494.4273133,0,0,1
1740729494.4890196,0,0,1
1740729494.5583599,0,0,1
1740729494.6202197,0,0,1
1740729494.6800704,0,0,1
1740729494.741898,0,0,1
1740729494.810384,0,0,1
1740729494.8660493,0,0,1
1740729494.937606,0,0,1
1740729495.0035381,0,0,1
1740729495.0703998,0,0,1
1740729495.1318424,0,0,1
1740729495.193246,0,0,1
1740729495.2587183,0,0,1
1740729495.3199744,0,0,1
1740729495.382623,0,0,1
1740729495.44351,0,0,1
1740729495.506834,0,0,1
1740729495.5682,0,0,1
1740729495.6294916,0,0,1
1740729495.6885123,0,0,1
1740729495.7577136,0,0,1
1740729495.8209743,0,0,1
1740729495.8827312,0,0,1
1740729495.9454324,0,0,1
1740729496.0089839,0,0,1
1740729496.0702472,0,0,1
1740729496.1262193,0,0,1
1740729496.1897898,0,0,1
1740729496.2524896,0,0,1
1740729496.3129418,0,0,1
1740729496.3755417,0,0,1
1740729496.4617665,0,0,1
1740729496.5094135,0,0,1
1740729496.565178,0,0,1
1740729496.6278548,0,0,1
1740729496.6908796,0,0,1
1740729496.750909,0,0,1
1740729496.8151662,0,0,1
1740729496.87642,0,0,1
1740729496.9392974,0,0,1
1740729496.9991372,0,0,1
1740729497.062937,0,0,1
1740729497.1277559,0,0,1
1740729497.191783,0,0,1
1740729497.254357,0,0,1
1740729497.3149865,0,0,1
1740729497.377579,0,0,1
1740729497.4406927,0,0,1
1740729497.500752,0,0,1
1740729497.5628943,0,0,1
1740729497.6271157,0,0,1
1740729497.6963177,0,0,1
1740729497.7608645,0,0,1
1740729497.8216143,0,0,1
1740729497.8827298,0,0,1
1740729497.9458065,0,0,1
1740729498.0085251,0,0,1
1740729498.0688994,0,0,1
1740729498.130569,0,0,1
1740729498.1929939,0,0,1
1740729498.2552376,0,0,1
1740729498.3180203,0,0,1
1740729498.378922,0,0,1
1740729498.437973,0,0,1
1740729498.4880855,0,0,1
1740729498.543981,0,0,1
1740729498.6080103,0,0,1
1740729498.675162,0,0,1
1740729498.7400973,0,0,1
1740729498.7996929,0,0,1
1740729498.862387,0,0,1
1740729498.9263542,0,0,1
1740729498.9892895,0,0,1
1740729499.049669,0,0,1
1740729499.1052415,0,0,1
1740729499.1681519,0,0,1
1740729499.229656,0,0,1
1740729499.2943447,0,0,1
1740729499.354798,0,0,1
1740729499.4171455,0,0,1
1740729499.4798262,0,0,1
1740729499.543325,0,0,1
1740729499.6142123,0,0,1
1740729499.67565,0,0,1
1740729499.7342665,0,0,1
1740729499.797193,0,0,1
1740729499.8622372,0,0,1
1740729499.9245129,0,0,1
1740729499.9848604,0,0,1
1740729500.0473459,0,0,1
1740729500.1096187,0,0,1
1740729500.1715999,0,0,1
1740729500.2315605,0,0,1
1740729500.293947,0,0,1
1740729500.3573508,0,0,1
1740729500.421866,0,0,1
1740729500.4936821,0,0,1
1740729500.5536685,0,0,1
1740729500.6147134,0,0,1
1740729500.6751246,0,0,1
1740729500.736714,0,0,1
1740729500.798287,0,0,1
1740729500.8612044,0,0,1
1740729500.9269643,0,0,1
1740729500.9939296,0,0,1
1740729501.0565012,0,0,1
1740729501.1183908,0,0,1
1740729501.179983,0,0,1
1740729501.2446039,0,0,1
